"","Year","District.Code","District.Name","Neighborhood.Code","Neighborhood.Name","Age","Death_Number","By_Age_Immigrants","By_Age_Emigrants","Spain","Italy","Colombia","Venezuela","Pakistan","France","Morocco","United Kingdom","India","Germany","Bangladesh","Philippines","United States","China","Peru","Argentina","Brasil","Dominican Republic","Honduras","Population_Number_Male","Population_Number_Female","By_Sex_Immigrants_Male","By_Sex_Immigrants_Female","By_Sex_Emigrants_Male","By_Sex_Emigrants_Female","Birth_Number_Male","Birth_Number_Female","Unemployment_Number_Male_Registered unemployed","Unemployment_Number_Male_Unemployment demand","Unemployment_Number_Female_Registered unemployed","Unemployment_Number_Female_Unemployment demand"
"26",2017,6,"Gràcia",28,"Vallcarca i els Penitents","0-4",1,37,39,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,66.8,355,417,229,261,66,66,3305,928,4219,1241
"27",2017,6,"Gràcia",29,"el Coll","0-4",1,18,16,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,30.2,166,206,102,105,26,25,1374,392,1771,531
"28",2017,6,"Gràcia",30,"la Salut","0-4",0,41,23,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6,50,382,350,184,202,62,42,2778,811,3541,1078
"29",2017,6,"Gràcia",31,"la Vila de Gràcia","0-4",2,88,104,1415,326,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,230.2,218.6,1623,1964,792,933,241,236,11179,3189,13910,3710
"30",2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","0-4",1,73,68,728,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.6,134.6,833,958,457,542,149,144,7089,2173,8961,2583
"31",2017,7,"Horta-Guinardó",33,"el Baix Guinardó","0-4",1,48,44,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4,95,620,665,371,385,97,93,5468,1717,6983,1992
"32",2017,7,"Horta-Guinardó",34,"Can Baró","0-4",0,16,17,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37.5,240,233,135,155,41,38,1988,583,2532,773
"33",2017,7,"Horta-Guinardó",35,"el Guinardó","0-4",0,72,71,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.8,160.2,874,963,524,561,148,170,8953,2232,11043,3028
"34",2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","0-4",0,14,9,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.25,37.75,121,162,97,100,26,33,2746,647,3381,858
"35",2017,7,"Horta-Guinardó",37,"el Carmel","0-4",1,66,65,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,122,671,743,461,500,123,136,9346,2214,11524,2937
"36",2017,7,"Horta-Guinardó",38,"la Teixonera","0-4",0,15,18,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,43.8,246,266,186,189,48,41,2849,700,3453,888
"37",2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","0-4",0,15,18,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24.25,213,173,98,111,28,27,1723,427,2078,539
"38",2017,7,"Horta-Guinardó",40,"Montbau","0-4",0,11,6,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,14.5,129,127,87,82,26,17,1249,311,1503,388
"39",2017,7,"Horta-Guinardó",43,"Horta","0-4",0,50,38,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.2,106.4,521,606,329,354,99,91,7921,1919,9482,2315
"40",2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","0-4",1,51,36,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,92,509,547,336,372,92,108,7332,1819,8802,2164
"41",2017,8,"Nou Barris",45,"Porta","0-4",0,66,49,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,108.4,106.6,647,751,369,371,104,117,7073,1727,8684,2200
"42",2017,8,"Nou Barris",46,"el Turó de la Peira","0-4",0,64,35,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.25,68,409,469,221,263,82,92,4612,1140,5425,1292
"43",2017,8,"Nou Barris",48,"la Guineueta","0-4",0,23,33,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,58.4,218,275,156,207,47,40,5245,1185,6336,1545
"44",2017,8,"Nou Barris",49,"Canyelles","0-4",0,6,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,22.4,62,78,60,55,35,14,2557,578,3091,754
"45",2017,8,"Nou Barris",50,"les Roquetes","0-4",2,57,26,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,71,75.6,413,507,253,302,88,83,5548,1254,6701,1632
